,edad,estado,formacion,ocupacion,universidad,periodo_clase,tipo_trabajo,moneda,salario,gastos,rango_vivienda,rango_alimentacion,rango_transporte,act_extracurricular,rango_extracurricular,bool_ahorro,rango_ahorro,educacion_financiera,bool_educacion_financiera,nivel_vida,nivel_satisfaccion
27,18 a 20 años.,Distrito Capital,Bachiller,Estudiante.,Privada.,Trimestre.,,,,,,,,,,,,,,Igual.,Neutral.
28,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Peor.,Poco satisfecho.
29,24 a 26 años.,Mérida,Bachiller,Estudiante y empleado.,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Dólares estadounidenses,Más de $320,"Alimentación, Transporte",$0,$0,$20 a $40,"Gimnasio, Deporte",$50 a $70,Sí,Más de $80,Sí,Sí,Mucho mejor.,Bastante satisfecho.
30,18 a 20 años.,Mérida,Bachiller,Estudiante.,Privada.,Semestre.,,,,,,,,,,,,,,Peor.,Nada satisfecho.
31,18 a 20 años.,Mérida,Bachiller,Estudiante.,Privada.,Semestre.,,,,,,,,,,,,,,Peor.,Neutral.
32,21 a 23 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Mucho peor.,Nada satisfecho.
33,24 a 26 años.,Mérida,Bachiller,Estudiante y empleado.,Pública.,Periodos anuales.,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,$280 a $320,"Alimentación, Transporte",$0,$20 a $40,$20 a $40,No aplica.,$0,Sí,Más de $80,Sí,Sí,Mucho mejor.,Bastante satisfecho.
34,24 a 26 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Peor.,Nada satisfecho.
35,21 a 23 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Mucho peor.,Poco satisfecho.
36,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Igual.,Poco satisfecho.
37,21 a 23 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Mejor.,Poco satisfecho.
38,18 a 20 años.,Mérida,Bachiller,Desempleado.,No aplica,No aplica,,,,,,,,,,,,,,Mejor.,Neutral.
39,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado.,Pública.,Semestre.,"Sector público (gobierno, instituciones públicas).",Bolívares,$80 a $120.,"Alimentación, Transporte",$120 a $160,$20 a $40,$40 a $60,No aplica.,$0,No,$0,Sí,No,Igual.,Neutral.
40,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Mucho peor.,Nada satisfecho.
41,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Peor.,Nada satisfecho.
42,24 a 26 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Mejor.,Satisfecho.
43,18 a 20 años.,Mérida,Bachiller,Estudiante.,Privada.,Semestre.,,,,,,,,,,,,,,Igual.,Nada satisfecho.
44,21 a 23 años.,Distrito Capital,Bachiller,Empleado o emprendedor,No aplica,No aplica,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Dólares estadounidenses,$200 a $240.,"Alimentación, Transporte",$40 a 80$,$20 a $40,$20 a $40,No aplica.,$0,Sí,$10 a $20,Sí,Sí,Igual.,Neutral.
45,18 a 20 años.,Mérida,Bachiller,Estudiante.,Privada.,Semestre.,,,,,,,,,,,,,,Mejor.,Neutral.
46,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado.,Privada.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,$120 a $160.,Transporte,$0,$0,$0,No aplica.,$10 a $30,No,$50 a $80,Sí,Sí,Igual.,Muy satisfecho.
47,27 a 29 años.,Mérida,Bachiller,Empleado o emprendedor,Pública.,Periodos anuales.,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,$280 a $320,"Vivienda., Alimentación, Transporte",$80 a $120,$60 a $80,$60 a $80,Gimnasio,$10 a $30,Sí,$50 a $80,No,Sí,Mejor.,Neutral.
48,18 a 20 años.,Mérida,Bachiller,Empleado o emprendedor,No aplica,No aplica,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,$40 a $80.,"Alimentación, Transporte",$0,$0,$0,"Música, Arte",Más de $70,Sí,$10 a $20,No,No,Mejor.,Bastante satisfecho.
49,21 a 23 años.,Mérida,Bachiller,Estudiante y empleado.,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,Menos $40.,"Vivienda., Alimentación, Transporte",$40 a 80$,$20 a $40,$20 a $40,No aplica.,$10 a $30,No,$0,Sí,Sí,Mucho peor.,Nada satisfecho.
50,18 a 20 años.,Miranda,Bachiller,Desempleado.,No aplica,No aplica,,,,,,,,,,,,,,Mejor.,Neutral.
51,21 a 23 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Igual.,Poco satisfecho.
52,27 a 29 años.,Mérida,Bachiller,Empleado o emprendedor,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Bolívares,$120 a $160.,"Vivienda., Alimentación, Transporte",$40 a 80$,Más de $100,$20 a $40,Música,$50 a $70,No,$0,No,Sí,Mucho mejor.,Poco satisfecho.
53,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Igual.,Poco satisfecho.
54,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,Menos $40.,Alimentación,$0,$0,$0,Arte,$10 a $30,No,$0,Sí,Sí,Mejor.,Neutral.
55,21 a 23 años.,Mérida,Bachiller,Empleado o emprendedor,No aplica,No aplica,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,$160 a $200.,"Vivienda., Alimentación, Transporte",$40 a 80$,$40 a $60,$0,Talleres,$10 a $30,Sí,$10 a $20,No,Sí,Mucho mejor.,Muy satisfecho.
56,24 a 26 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Periodos anuales.,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,$80 a $120.,"Alimentación, Transporte",$40 a 80$,$60 a $80,$20 a $40,No aplica.,$0,Sí,$0 a $10,No,Sí,Igual.,Poco satisfecho.
57,18 a 20 años.,Distrito Capital,Bachiller,Estudiante.,Privada.,Semestre.,,,,,,,,,,,,,,Igual.,Poco satisfecho.
58,21 a 23 años.,Mérida,Bachiller,Estudiante.,Pública.,Trimestre.,,,,,,,,,,,,,,Mucho peor.,Nada satisfecho.
59,21 a 23 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Mejor.,Nada satisfecho.
60,21 a 23 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector público (gobierno, instituciones públicas).",Bolívares,Más de $320,"Alimentación, Transporte",$0,Más de $100,$40 a $60,No aplica.,$0,Sí,Más de $80,Sí,Sí,Mucho mejor.,Muy satisfecho.
61,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Trimestre.,,,,,,,,,,,,,,Mucho peor.,Nada satisfecho.
62,21 a 23 años.,Mérida,Bachiller,Empleado o emprendedor,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,$280 a $320,"Vivienda., Alimentación, Transporte",$80 a $120,Más de $100,$40 a $60,Gimnasio,$10 a $30,Sí,$20 a $50,Sí,Sí,Mejor.,Neutral.
63,24 a 26 años.,Mérida,Bachiller,Empleado o emprendedor,No aplica,No aplica,"Sector público (gobierno, instituciones públicas).",Bolívares,$120 a $160.,"Vivienda., Alimentación, Transporte",$80 a $120,$60 a $80,$20 a $40,"Gimnasio, Deporte, Idiomas, Arte",Más de $70,Sí,$0 a $10,No,Sí,Igual.,Neutral.
64,24 a 26 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Periodos anuales.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,Más de $320,"Alimentación, Transporte",$0,Más de $100,Más de $80,Gimnasio,Más de $70,Sí,Más de $80,No,Sí,Mejor.,Bastante satisfecho.
65,18 a 20 años.,Miranda,Bachiller,Estudiante.,Privada.,Trimestre.,,,,,,,,,,,,,,Mucho mejor.,Satisfecho.
66,18 a 20 años.,Mérida,Bachiller,Empleado o emprendedor,No aplica,No aplica,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,$120 a $160.,"Alimentación, Transporte",$0,$20 a $40,$20 a $40,Idiomas,$50 a $70,Sí,$10 a $20,No,Sí,Mejor.,Poco satisfecho.
67,21 a 23 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Peor.,Nada satisfecho.
68,24 a 26 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Trimestre.,"Trabajador independiente (freelance, emprendedor).",Bolívares,Menos $40.,"Vivienda., Alimentación, Transporte",$40 a 80$,$40 a $60,$20 a $40,Arte,$0,No,$0,No,Sí,Igual.,Nada satisfecho.
69,21 a 23 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Dólares estadounidenses,$160 a $200.,Alimentación,$0,$0,$0,"Gimnasio, Deporte, Idiomas",$30 a $50,No,$20 a $50,Sí,Sí,Igual.,Bastante satisfecho.
70,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Peor.,Satisfecho.
71,18 a 20 años.,Mérida,Bachiller,Estudiante.,Privada.,No aplica,,,,,,,,,,,,,,Mejor.,Poco satisfecho.
72,21 a 23 años.,Mérida,Bachiller,Empleado o emprendedor,No aplica,No aplica,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Dólares estadounidenses,$200 a $240.,"Vivienda., Alimentación, Transporte",$80 a $120,$60 a $80,$20 a $40,Deporte,$10 a $30,Sí,$0 a $10,Sí,Sí,Mucho peor.,Poco satisfecho.
73,21 a 23 años.,Distrito Capital,Bachiller,Empleado o emprendedor,No aplica,No aplica,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Bolívares,$80 a $120.,"Alimentación, Transporte",$160 a $200,$40 a $60,$20 a $40,Deporte,$0,No,$0,Sí,Sí,Igual.,Poco satisfecho.
74,18 a 20 años.,Distrito Capital,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Mejor.,Satisfecho.
75,21 a 23 años.,Mérida,Bachiller,Empleado o emprendedor,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Bolívares,$160 a $200.,"Alimentación, Transporte",$0,Más de $100,$20 a $40,No aplica.,$0,No,$0,No,Sí,Mucho mejor.,Neutral.
76,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Igual.,Nada satisfecho.
77,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,$80 a $120.,"Alimentación, Transporte",$0,$20 a $40,$20 a $40,No aplica.,$0,Sí,$0 a $10,No,Sí,Igual.,Poco satisfecho.
78,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Bolívares,$40 a $80.,"Alimentación, Transporte",$0,$40 a $60,$20 a $40,No aplica.,$0,No,$0,Sí,Sí,Igual.,Nada satisfecho.
79,21 a 23 años.,Barinas,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Igual.,Poco satisfecho.
80,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,$40 a $80.,"Alimentación, Transporte",$80 a $120,$60 a $80,$20 a $40,Gimnasio,$30 a $50,Sí,$0 a $10,Sí,Sí,Igual.,Neutral.
81,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Dólares estadounidenses,$80 a $120.,"Vivienda., Alimentación",$40 a 80$,$20 a $40,$0,No aplica.,$0,Sí,$0 a $10,Sí,Sí,Mejor.,Neutral.
82,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Igual.,Bastante satisfecho.
83,21 a 23 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Igual.,Poco satisfecho.
84,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Igual.,Poco satisfecho.
85,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Periodos anuales.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,$80 a $120.,Transporte,$0,$0,$0,"Gimnasio, Idiomas",Más de $70,Sí,$20 a $50,Sí,Sí,Igual.,Neutral.
86,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Mejor.,Poco satisfecho.
87,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Mejor.,Bastante satisfecho.
88,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Igual.,Nada satisfecho.
89,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Igual.,Poco satisfecho.
90,21 a 23 años.,Guárico,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Bolívares,$240 a $280,"Alimentación, Transporte",$40 a 80$,$20 a $40,$20 a $40,No aplica.,$0,Sí,Más de $80,Sí,Sí,Igual.,Neutral.
91,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Mejor.,Neutral.
92,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Igual.,Poco satisfecho.
93,27 a 29 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Bolívares,$40 a $80.,"Vivienda., Alimentación, Transporte",$40 a 80$,Más de $100,$40 a $60,No aplica.,$0,No,$0,Sí,No,Igual.,Nada satisfecho.
94,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Igual.,Neutral.
95,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,$40 a $80.,Transporte,$0,$20 a $40,$20 a $40,Gimnasio,$30 a $50,Sí,$10 a $20,No,Sí,Igual.,Poco satisfecho.
96,18 a 20 años.,Mérida,Bachiller,Empleado o emprendedor,No aplica,No aplica,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Bolívares,$40 a $80.,"Alimentación, Transporte",$0,$40 a $60,$20 a $40,No aplica.,$0,No,$0,Sí,Sí,Peor.,Nada satisfecho.
97,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Igual.,Nada satisfecho.
98,18 a 20 años.,Mérida,Bachiller,Empleado o emprendedor,No aplica,No aplica,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,$120 a $160.,"Vivienda., Alimentación, Transporte",$40 a 80$,$40 a $60,$20 a $40,"Deporte, Idiomas",$10 a $30,Sí,$0 a $10,Sí,Sí,Mejor.,Poco satisfecho.
99,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Mejor.,Neutral.
100,18 a 20 años.,Mérida,Bachiller,Empleado o emprendedor,No aplica,No aplica,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,$40 a $80.,Transporte,$0,$0,$0,Deporte,$10 a $30,No,$0,No,Sí,Mejor.,Neutral.
101,21 a 23 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Periodos anuales.,"Sector público (gobierno, instituciones públicas).",Bolívares,$80 a $120.,"Alimentación, Transporte",$0,Más de $100,$40 a $60,No aplica.,$0,Sí,$0 a $10,Sí,Sí,Mejor.,Poco satisfecho.
102,18 a 20 años.,Distrito Capital,Bachiller,Estudiante.,Privada.,Semestre.,,,,,,,,,,,,,,Igual.,Nada satisfecho.
103,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Mejor.,Neutral.
104,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector público (gobierno, instituciones públicas).",Bolívares,$80 a $120.,Transporte,$0,$20 a $40,$60 a $80,Deporte,$10 a $30,Sí,$20 a $50,Sí,Sí,Mejor.,Poco satisfecho.
105,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Peor.,Poco satisfecho.
106,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,No aplica,No aplica,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,Menos $40.,"Alimentación, Transporte",$0,$20 a $40,$20 a $40,"No aplica., Deporte",$0,Sí,$0 a $10,Sí,No,Mejor.,Poco satisfecho.
107,21 a 23 años.,Táchira,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Periodos anuales.,"Sector público (gobierno, instituciones públicas).",Bolívares,$40 a $80.,"Vivienda., Alimentación, Transporte",$120 a $160,$60 a $80,$20 a $40,No aplica.,$0,No,$0,No,Sí,Mejor.,Neutral.
108,18 a 20 años.,Miranda,Bachiller,Empleado o emprendedor,No aplica,Semestre.,"Trabajador independiente (freelance, emprendedor).",Bolívares,Menos $40.,"Vivienda., Alimentación",$120 a $160,$40 a $60,$20 a $40,No aplica.,$0,Sí,$0 a $10,No,Sí,Mejor.,Poco satisfecho.
109,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Mejor.,Neutral.
110,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Trimestre.,,,,,,,,,,,,,,Mejor.,Neutral.
111,21 a 23 años.,Mérida,Bachiller,Estudiante.,Privada.,Semestre.,,,,,,,,,,,,,,Igual.,Poco satisfecho.
112,21 a 23 años.,Barinas,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Igual.,Nada satisfecho.
113,24 a 26 años.,Táchira,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Pesos y dolares,$40 a $80.,"Alimentación, Transporte",$40 a 80$,$20 a $40,$20 a $40,"No aplica., ",$0,Sí,$10 a $20,Sí,Sí,Mejor.,Poco satisfecho.
114,21 a 23 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Igual.,Poco satisfecho.
115,24 a 26 años.,Distrito Capital,Bachiller,Empleado o emprendedor,No aplica,No aplica,"Sector público (gobierno, instituciones públicas).",Bolívares,$120 a $160.,"Alimentación, Transporte",$0,Más de $100,$20 a $40,No aplica.,$0,No,$0,No,Sí,Igual.,Poco satisfecho.
116,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector público (gobierno, instituciones públicas).",Bolívares,$40 a $80.,Alimentación,$0,$0,$0,No aplica.,$0,Sí,$50 a $80,No,Sí,Igual.,Poco satisfecho.
117,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,$80 a $120.,"Alimentación, Transporte",$40 a 80$,$40 a $60,$20 a $40,Gimnasio,$10 a $30,No,$0,No,Sí,Igual.,Poco satisfecho.
